file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
src/app/pages/register/register.scss,src/app/pages/register/register.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/register/register.ts,src/app/pages/register/register.ts,2025-12-04T11:54:36-03:00,2025-12-04T13:16:04-03:00,2,2,1,0.00,
src/app/pages/search-experts/search-experts.html,src/app/pages/search-experts/search-experts.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/search-experts/search-experts.scss,src/app/pages/search-experts/search-experts.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/pages/search-experts/search-experts.ts,src/app/pages/search-experts/search-experts.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/app/services/auth.service.ts,src/app/services/auth.service.ts,2025-12-04T13:52:19-03:00,2025-12-11T08:54:20-03:00,2,2,1,0.00,
src/app/services/supabase.service.ts,src/app/services/supabase.service.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/environments/environment.development.ts,src/environments/environment.development.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/environments/environment.ts,src/environments/environment.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/index.html,src/index.html,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/main.ts,src/main.ts,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
src/styles.scss,src/styles.scss,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
tsconfig.app.json,tsconfig.app.json,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
tsconfig.json,tsconfig.json,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
tsconfig.spec.json,tsconfig.spec.json,2025-12-04T11:54:36-03:00,2025-12-04T11:54:36-03:00,1,1,1,0.00,
